pool,month,hashrate(P),blocks
viabtc,201901,3572.37,412
viabtc,201902,3533.91,303
viabtc,201903,3211.26,345
viabtc,201904,3143.27,310
viabtc,201905,3842.76,343
viabtc,201906,4557.16,360
viabtc,201907,5282.12,354
viabtc,201908,5852.94,373
viabtc,201909,6654.75,333
viabtc,201910,6619.59,346
viabtc,201911,5773.84,264
viabtc,201912,6068.87,219
bitcoincom,201901,441.55,59
bitcoincom,201902,577.81,60
bitcoincom,201903,735.57,86
bitcoincom,201904,774.42,73
bitcoincom,201905,751.22,82
bitcoincom,201906,622.71,66
bitcoincom,201907,357.52,22
bitcoincom,201908,335.03,28
bitcoincom,201909,348.96,23
bitcoincom,201910,497.12,20
bitcoincom,201911,499.58,12
bitcoincom,201912,455.74,17
huobi,201901,1952.40,205
huobi,201902,1787.54,160
huobi,201903,1558.78,161
huobi,201904,1494.33,148
huobi,201905,2092.60,184
huobi,201906,2617.39,203
huobi,201907,3734.38,261
huobi,201908,4872.16,277
huobi,201909,5751.93,326
huobi,201910,5813.89,292
huobi,201911,4970.65,227
huobi,201912,4266.36,165
okpool.top,201901,0.00,1
okpool.top,201902,0.00,0
okpool.top,201903,0.00,0
okpool.top,201904,0.00,0
okpool.top,201905,0.00,0
okpool.top,201906,308.93,19
okpool.top,201907,461.90,40
okpool.top,201908,912.41,30
okpool.top,201909,1806.80,4
okpool.top,201910,1958.60,5
okpool.top,201911,2367.54,60
okpool.top,201912,3179.93,128
novablock,201901,0.00,0
novablock,201902,0.00,0
novablock,201903,0.00,0
novablock,201904,0.00,0
novablock,201905,0.00,0
novablock,201906,0.00,0
novablock,201907,0.00,0
novablock,201908,0.00,55
novablock,201909,0.00,92
novablock,201910,906.03,62
novablock,201911,1027.52,52
novablock,201912,1025.44,31
1THash&58COIN,201901,0.00,0
1THash&58COIN,201902,0.00,0
1THash&58COIN,201903,0.00,0
1THash&58COIN,201904,0.00,0
1THash&58COIN,201905,0.00,0
1THash&58COIN,201906,0.00,0
1THash&58COIN,201907,0.00,0
1THash&58COIN,201908,0.00,11
1THash&58COIN,201909,0.00,59
1THash&58COIN,201910,0.00,100
1THash&58COIN,201911,4113.24,196
1THash&58COIN,201912,5227.64,203
bytepool,201901,0.00,0
bytepool,201902,0.00,0
bytepool,201903,0.00,0
bytepool,201904,0.00,0
bytepool,201905,0.00,0
bytepool,201906,0.00,0
bytepool,201907,0.00,0
bytepool,201908,0.00,15
bytepool,201909,0.00,105
bytepool,201910,1958.11,97
bytepool,201911,2449.07,100
bytepool,201912,3829.61,155
antpool,201901,5045.68,520
antpool,201902,5429.16,522
antpool,201903,5480.07,570
antpool,201904,5431.98,560
antpool,201905,6240.31,581
antpool,201906,7202.55,577
antpool,201907,8494.77,607
antpool,201908,9417.09,568
antpool,201909,10583.70,563
antpool,201910,10710.87,487
antpool,201911,10171.09,455
antpool,201912,10174.42,391
BitFury,201901,0.00,174
BitFury,201902,0.00,110
BitFury,201903,0.00,162
BitFury,201904,0.00,171
BitFury,201905,0.00,192
BitFury,201906,0.00,205
BitFury,201907,0.00,185
BitFury,201908,0.00,152
BitFury,201909,0.00,156
BitFury,201910,0.00,154
BitFury,201911,0.00,142
BitFury,201912,0.00,132
btctop,201901,3388.91,387
btctop,201902,3566.15,335
btctop,201903,3346.68,365
btctop,201904,2970.00,293
btctop,201905,3488.68,335
btctop,201906,4646.39,349
btctop,201907,5342.13,413
btctop,201908,5448.27,327
btctop,201909,5573.86,258
btctop,201910,4612.63,207
btctop,201911,4207.82,153
btctop,201912,3885.99,154
SpiderPool,201901,0.00,0
SpiderPool,201902,0.00,0
SpiderPool,201903,0.00,0
SpiderPool,201904,0.00,0
SpiderPool,201905,0.00,0
SpiderPool,201906,0.00,0
SpiderPool,201907,0.00,0
SpiderPool,201908,0.00,0
SpiderPool,201909,0.00,4
SpiderPool,201910,325.06,15
SpiderPool,201911,324.83,16
SpiderPool,201912,497.26,16
slushpool,201901,4265.57,461
slushpool,201902,4376.16,366
slushpool,201903,3993.04,426
slushpool,201904,4533.57,442
slushpool,201905,5002.85,471
slushpool,201906,5349.97,438
slushpool,201907,5618.20,395
slushpool,201908,5977.44,359
slushpool,201909,5991.15,303
slushpool,201910,4667.52,195
slushpool,201911,4120.92,212
slushpool,201912,4483.67,162
btccom,201901,6660.29,667
btccom,201902,7066.01,714
btccom,201903,7280.18,733
btccom,201904,7265.11,713
btccom,201905,9182.94,882
btccom,201906,11519.14,888
btccom,201907,12960.71,952
btccom,201908,14135.07,929
btccom,201909,13812.33,760
btccom,201910,13869.94,672
btccom,201911,12754.00,585
btccom,201912,12703.31,506
easy2mine,201901,462.96,53
easy2mine,201902,442.82,31
easy2mine,201903,445.37,50
easy2mine,201904,464.63,49
easy2mine,201905,461.63,48
easy2mine,201906,457.87,40
easy2mine,201907,549.11,27
easy2mine,201908,558.09,33
easy2mine,201909,580.12,21
easy2mine,201910,565.20,24
easy2mine,201911,504.75,29
easy2mine,201912,452.17,15
f2pool,201901,4176.90,435
